Ano	Gleba	broca	grupo_infestacao	amb_prod	variedade	vinhaca	solo	tch	fazenda	data_plantio	data_avaliacao	chuva	tmed	ur	etp	rad
2012	1735	1.87	ALTO	C	RB855453	821.8	LVE.2A	82.13	APARECIDA	16/05/2011	11/06/2012	1357.2	22.15491094	67.45801527	1391.68	7064.5
2012	1695	1.48	Medio	D	CTC2	1033.2	LVA.8	113.39	APARECIDA	11/08/2011	23/10/2012	1558	22.54823864	65.76531818	1636.46	8029.04
2012	1742	1.42	Medio	C	SP83-2847	1280.3	LVE.7	83.15	APARECIDA	25/05/2011	19/09/2012	1486.4	21.91009298	66.07409091	1680.78	8550.22
2012	1741	1.38	Medio	E	CTC2	1559.6	AQ.2	74.25	APARECIDA	24/04/2011	09/06/2012	1383	22.11547215	67.72535109	1446.01	7366.54
2012	1691	1.15	Medio	D	CTC2	1284.171	LVA.5	97.14	APARECIDA	01/07/2011	23/10/2012	1578.7	22.32405405	65.50135135	1741.93	8645.79
2012	1369	7.94	MUITOALTO	A	SP89-1115	0	LVU.1	30.95	BARREIRO	01/06/2011	24/05/2012	1310.1	22.44289694	66.7548468	1317.75	6605.72
2012	1299	4.82	MUITOALTO	B	CTC13	348	LVU.2	84.7	BARREIRO	31/10/2011	25/05/2012	1046.8	23.39057692	71.33225962	815.36	3977.55
2012	1355	4.78	MUITOALTO	E	RB855156	0	CB.29	49.93	BARREIRO	30/05/2011	23/05/2012	1308.5	22.42291667	66.73694444	1320.39	6628.49
2012	1375	4.71	MUITOALTO	A	RB855156	113.6	LR.1	88.89	BARREIRO	02/06/2011	29/05/2012	1314.3	22.42753444	66.94123967	1326.14	6653.55
2012	1372	4.45	MUITOALTO	A	DIVERSAS	0	TRE.4	68.24	BARREIRO	01/06/2011	24/05/2012	1310.1	22.44289694	66.7548468	1317.75	6605.72
2012	1640	4.17	MUITOALTO	A	SP89-1115	0	LR.1	64.68	BARREIRO	09/05/2011	13/07/2012	1471.1	21.93523148	67.93791667	1481.07	7596.75
2012	1641	3.91	MUITOALTO	A	SP89-1115	0	LR.1	59.2	BARREIRO	06/06/2011	03/08/2012	1484.3	21.97227059	67.73404706	1465.5	7477.86
2012	1377	3.69	MUITOALTO	A	SP91-1049	0	LR.1	89.47	BARREIRO	31/05/2011	22/05/2012	1308.5	22.45113128	66.7250838	1315.65	6596.64
2012	1297	3.65	MUITOALTO	A	RB965902	0	LR.1	118.9	BARREIRO	01/12/2011	25/05/2012	848.3	23.45858757	72.46553672	672.05	3285.62
2012	1298	3.63	MUITOALTO	B	CTC13	81.6	LVU.2	65.2	BARREIRO	26/08/2011	31/05/2012	1259.8	23.29382143	68.10328571	1107.69	5372.4
2012	1378	3.45	MUITOALTO	A	SP91-1049	156	TRE.4	89.15	BARREIRO	04/05/2011	22/05/2012	1318.4	22.2554026	66.87625974	1386.71	7032.99
